,cover,title,author,publisher,isbn,timestamp,activity,details,library,return_date,due_date,score,number_of_pages
21,https://img1.od-cdn.com/ImageType-100/1219-1/{6DD9C963-FFD8-4D1B-AAE4-79C8813A1CD4}Img100.jpg,Covet,Tracy Wolff,"Tantor Media, Inc.",9781705219645,"February 10, 2023 3:34",Borrowed,21 days,Spokane Public Library,"July 11, 2022 4:48",2023-03-03 3:34:00,-214,704
22,https://img1.od-cdn.com/ImageType-100/1219-1/{02EF0750-A967-493C-AA14-B292C33C1DC3}Img100.jpg,Crush,Tracy Wolff,"Tantor Media, Inc.",9781705219621,"February 10, 2023 3:09",Borrowed,21 days,Spokane Public Library,"August 11, 2022 21:42",2023-03-03 3:09:00,-183,704
23,https://img1.od-cdn.com/ImageType-100/1493-1/{92C63301-D9D7-48B6-8A98-D60D35CDF6F5}Img100.jpg,The House in the Cerulean Sea,TJ Klune,Macmillan Audio,9781250264299,"February 07, 2023 3:22",Borrowed,21 days,Spokane Public Library,"February 25, 2023 22:48",2023-02-28 3:22:00,18,395
24,https://img1.od-cdn.com/ImageType-100/2390-1/{F2755D16-8265-4B7E-8D4E-FB707E22F77E}Img100.jpg,Crooked Kingdom,Leigh Bardugo,Henry Holt and Co. (BYR),9781627797917,"February 07, 2023 3:22",Borrowed,21 days,Spokane Public Library,"February 24, 2023 16:33",2023-02-28 3:22:00,17,546
25,https://img1.od-cdn.com/ImageType-100/2183-1/{2BD8B36C-3BF3-4339-8E08-F895883822C5}Img100.jpg,House of Sky and Breath,Sarah J. Maas,Bloomsbury Publishing,9781635574081,"February 05, 2023 22:34",Borrowed,21 days,Spokane Public Library,"January 28, 2023 16:00",2023-02-26 22:34:00,-9,768
26,https://img1.od-cdn.com/ImageType-100/1060-1/{B8E993E1-7D88-4AF2-A305-B467ED6A73FC}Img100.jpg,Graceling,Kristin Cashore,Full Cast Audio,,"February 03, 2023 5:04",Borrowed,21 days,Spokane Public Library,"January 31, 2023 15:24",2023-02-24 5:04:00,-3,471
27,https://img1.od-cdn.com/ImageType-100/0293-1/{DF7C3A08-EB63-418C-B8C2-DEBD33097D65}IMG100.JPG,The Cold Millions,Jess Walter,HarperCollins,9780062868107,"January 31, 2023 0:09",Borrowed,21 days,Spokane Public Library,"February 14, 2023 4:29",2023-02-21 0:09:00,14,352
28,https://img1.od-cdn.com/ImageType-100/0293-1/{20095585-112E-48E0-9114-B1A7AED6ABEE}IMG100.JPG,Graceling,Kristin Cashore,HarperCollins,9780547351278,"January 28, 2023 15:55",Borrowed,21 days,Spokane Public Library,"January 31, 2023 15:24",2023-02-18 15:55:00,2,471
29,https://img1.od-cdn.com/ImageType-100/0293-1/{283D4E3C-4210-4F54-BC86-5414FEBC9AF9}Img100.jpg,The Cold Millions,Jess Walter,HarperAudio,9780063033863,"January 27, 2023 4:01",Borrowed,21 days,Spokane Public Library,"February 14, 2023 4:29",2023-02-17 4:01:00,18,352
30,https://img1.od-cdn.com/ImageType-100/2183-1/{33A71567-38C1-40F8-98D0-915C069443E4}IMG100.JPG,The Priory of the Orange Tree,Samantha Shannon,Bloomsbury Publishing,9781635570281,"January 24, 2023 4:00",Borrowed,21 days,Spokane Public Library,"February 14, 2023 4:00",2023-02-14 4:00:00,21,848
31,https://img1.od-cdn.com/ImageType-100/0111-1/{B8C367DA-E521-490B-8DD3-2B8C9C3CFB74}IMG100.JPG,How to Be an Antiracist,Ibram X. Kendi,Random House Publishing Group,9780525509295,"January 23, 2023 17:31",Borrowed,7 days,Spokane Public Library,"January 28, 2023 16:00",2023-01-30 17:31:00,4,305
32,https://img1.od-cdn.com/ImageType-100/2183-1/{787A3037-7EC3-48B8-887D-C943EC00FD21}Img100.jpg,House of Earth and Blood,Sarah J. Maas,Bloomsbury Publishing,9781635574050,"January 22, 2023 19:04",Borrowed,21 days,Spokane Public Library,"February 03, 2023 5:04",2023-02-12 19:04:00,11,816
33,https://img1.od-cdn.com/ImageType-100/0293-1/{FE3EEE7F-2DDD-4E12-998A-38C5A43B948D}Img100.jpg,The Song of Achilles,Madeline Miller,HarperAudio,9780062115577,"January 22, 2023 6:21",Borrowed,21 days,Spokane Public Library,"February 05, 2023 21:31",2023-02-12 6:21:00,14,369
34,https://img1.od-cdn.com/ImageType-100/0293-1/{98029A86-A1E8-44F8-A93F-374C36D16C2C}IMG100.JPG,Truly Devious,Maureen Johnson,HarperCollins,9780062338075,"January 21, 2023 16:22",Borrowed,21 days,Spokane Public Library,"February 11, 2023 6:01",2023-02-11 16:22:00,20,420
35,https://img1.od-cdn.com/ImageType-100/1219-1/{2E788F69-82E8-4A42-B902-A8A896D49D2E}Img100.jpg,Crave,Tracy Wolff,"Tantor Media, Inc.",9781705219607,"January 20, 2023 6:19",Borrowed,21 days,Spokane Public Library,"June 30, 2022 22:48",2023-02-10 6:19:00,-204,571
36,https://img1.od-cdn.com/ImageType-100/2390-1/{9DEC75E6-F795-437C-9897-A6926B466EBA}Img100.jpg,Six of Crows,Leigh Bardugo,Henry Holt and Co. (BYR),9781627795227,"January 20, 2023 0:07",Borrowed,21 days,Spokane Public Library,"February 10, 2023 0:07",2023-02-10 0:07:00,21,480
37,https://img1.od-cdn.com/ImageType-100/1219-1/{6DD9C963-FFD8-4D1B-AAE4-79C8813A1CD4}Img100.jpg,Covet,Tracy Wolff,"Tantor Media, Inc.",9781705219645,"January 16, 2023 7:09",Borrowed,21 days,Spokane Public Library,"July 11, 2022 4:48",2023-02-06 7:09:00,-190,704
38,https://img1.od-cdn.com/ImageType-100/1694-1/{1EF370D8-CFC6-45A8-9DBD-0E1D9C56361D}IMG100.JPG,Even Though I Knew the End,C.L. Polk,"Recorded Books, Inc.",9781705051771,"January 15, 2023 4:26",Borrowed,21 days,Spokane Public Library,"January 19, 2023 1:34",2023-02-05 4:26:00,3,136
39,https://img1.od-cdn.com/ImageType-100/0111-1/{8EF808C3-75DC-40A5-ABD9-8A79AB24FF8C}Img100.jpg,A Great and Terrible Beauty,Libba Bray,Random House Children's Books,9780375890499,"January 13, 2023 4:39",Borrowed,21 days,Spokane Public Library,"January 19, 2023 1:35",2023-02-03 4:39:00,5,403
40,https://img1.od-cdn.com/ImageType-100/0439-1/{35A488C5-A042-46A6-BD3D-5D7F8395CE7F}IMG100.JPG,Blood Like Magic,Liselle Sambury,Margaret K. McElderry Books,9781534465305,"January 13, 2023 4:30",Borrowed,21 days,Spokane Public Library,"January 19, 2023 1:33",2023-02-03 4:30:00,5,484
41,https://img1.od-cdn.com/ImageType-100/4575-1/{8624F4F1-B2EA-4DB7-A44A-9625AC51D8A9}Img100.jpg,Soulless,Gail Carriger,Hachette Audio,9781549140655,"January 13, 2023 4:28",Borrowed,21 days,Spokane Public Library,"January 31, 2023 0:09",2023-02-03 4:28:00,17,357
42,https://img1.od-cdn.com/ImageType-100/1191-1/{B9F1A650-69A7-40C7-BC22-AEFFD340EDA1}Img100.jpg,Fire,Kristin Cashore,Books on Tape,9781101145708,"January 13, 2023 4:20",Borrowed,21 days,Spokane Public Library,"January 31, 2023 15:24",2023-02-03 4:20:00,18,480
43,https://img1.od-cdn.com/ImageType-100/1060-1/{B8E993E1-7D88-4AF2-A305-B467ED6A73FC}Img100.jpg,Graceling,Kristin Cashore,Full Cast Audio,,"January 13, 2023 4:19",Borrowed,21 days,Spokane Public Library,"January 31, 2023 15:24",2023-02-03 4:19:00,18,471
44,https://img1.od-cdn.com/ImageType-100/1219-1/{02EF0750-A967-493C-AA14-B292C33C1DC3}Img100.jpg,Crush,Tracy Wolff,"Tantor Media, Inc.",9781705219621,"January 13, 2023 4:18",Borrowed,21 days,Spokane Public Library,"August 11, 2022 21:42",2023-02-03 4:18:00,-155,704
